Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2021,10894,"City of Los Angeles, CA",Los Angeles,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, HFCs, N20, PFCs",1329146,18683071,,7636620,,27315349,,,,,,Increased,"Other, please specify: Expanded reporting from BASIC to BASIC+",1215,4021488,2018,POINT (-118.244 34.0522),10/04/2021 09:23:47 AM
2021,59605,"City of Colton, CA",,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,16,54000,2020,,10/04/2021 09:23:47 AM
2021,35870,"City of Miami, FL",Miami,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Decreased,"Other, please specify: Increased use of natural gas (from coal) in utility fuel mix",145.19,467963,2019,POINT (-80.1918 25.7617),10/04/2021 09:23:47 AM
2021,49334,"City of Richmond, VA","Richmond, VA",United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Collected data over a 1 year period with the help of many public and governmental organizations as well as private utility company.,"CH4, CO2, N20",,,,,,,1361339,1248463,72171,,,Decreased,Improved data accuracy,62.5,230436,2019,POINT (-77.436 37.5407),10/04/2021 09:23:47 AM
2021,35859,"City of Cleveland, OH",Cleveland,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"We are also using the new Common Reporting Framework (CRF), which seems to pose some conflicts between the BASIC + requirements and the currently optional CRF requirements for AFLOU Data. We have significant IPPU data in our emissions which we would like to be included in our total emissions reporting across ALL platforms (CDP, ICLEI, GCom)","CH4, CO2, N20",0,8264073.9,,2481591,,574272.04,,,,,,Decreased,Technological change,201.24,381009,2019,POINT (-81.6944 41.4993),10/04/2021 09:23:47 AM
2021,35879,"City of Minneapolis, MN",Minneapolis,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",1128188,2935483.84,,1438614.92,,20534.35,,,,,,Increased,Change in weather conditions,153,429606,2019,POINT (-93.2667 44.9833),10/04/2021 09:23:47 AM
2021,54030,"City of Little Rock, AR",Little Rock,United States of America,North America,public,In progress,-,City / Municipality,,,,,,,,,,,,,,,,,,309,200918,2021,POINT (-92.2896 34.7465),10/04/2021 09:23:47 AM
2021,3417,"New York City, NY",New York City,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"ConEdison (ConEd) provided data on use of citywide electricityand steam, and natural gas in the Bronx, Manhattan, and parts ofQueens. National Grid reported natural gas use data for Brooklyn,parts of Queens, and Staten Island. The Long Island Power Author-ity (LIPA) reported electricity use data for the Rockaways area ofQueens. Fuel oil use was provided by private fuel oil suppliers, perLocal Law 43 of 2013, which requires fuel oil providers to reportfuel oil deliveries by fuel type to the City on an annual basis. TheNew York Metropolitan Transportation Council (NYMTC) providedon-road transportation vehicle-miles-traveled (VMT) data. Energyuse data for public transit were provided by the MetropolitanTransportation Authority (MTA) for New York City Transit (NYCT)subways and buses, Staten Island Railway (SIR), MTA Metro-NorthRail Road (MNR) and Long Island Railroad (LIRR) commuter rail,and MTA Bus Company buses; by the Port Authority of New Yorkand New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail;and New Jersey Transit (NJT) for its commuter rail and buses.Data used to calculate fugitive and process CH4 and process N2Ofrom wastewater treatment were provided by DEP. CH4 emissionswere calculated based on the destruction of volatile material inanaerobic digesters. Based on the measured concentration andflow of volatile organic solids, it is estimated that 15 cubic feet ofdigester gas is produced for every pound of volatile organic solidsdestroyed. N2O emissions were calculated by applying the dailynitrogen load discharged by each of the City’s 14 wastewatertreatment plant to the formula in the LGOP.Fugitive CH4 from in-city landfills was calculated from landfill gascollection data provided by the New York City Department of Sani-tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exportedsolid waste was calculated using waste disposal figures for resi-dential, commercial, and construction and demolition waste andapplying emissions factors from the USCP, which were taken fromEPA’s Waste Reduction Model (WARM). Fugitive CH4 from naturalgas distribution was calculated using data provided by NationalGrid and ConEd. Fugitive SF6 from electricity distribution was cal-culated using data provided by ConEd. .","CH4, CO2, N20",,38275608,12417317,,,,,,,,,Increased,Change in weather conditions,1213.37,8399000,2018,POINT (-74.0059 40.7128),10/04/2021 09:23:47 AM
2021,74575,"Dane County, WI",,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,Province / County,Larger – covers the whole city and adjoining areas,"Other, please specify: FACETS model facilitated by Sustainable Energy Economics","A team from the University of Minnesota, using primarily ICLEI protocols, conducted an inventory of Dane County emissions based on 2013 data.  That inventory is attached.  In the context of developing a scientifically rigorous climate action plan we updated all of the major emission sources to 2017 data by directly surveying the various sources of emissions (e.g. every utility in the County reported their 2017 electricity and gas sales, in our county, to us) we conducted an inventory required to populate a US MARKAL/TIMES model (FACETS) that was used to model a baseline and then 110 emission reduction recommendations.","CH4, CO2, N20",,,,,,,4858052,2145888,447060,,,Decreased,Financial conditions,3206,546695,2019,,10/04/2021 09:23:47 AM
2021,43909,"City of Orlando, FL",Orlando,United States of America,North America,public,Yes,2018-10-01 - 2019-09-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Change in weather conditions,295,287442,2019,POINT (-81.3792 28.5383),10/04/2021 09:23:47 AM
2021,3203,"City of Chicago, IL",Chicago,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),We are in the process of conducting updated reporting for our Citywide GHG emissions and will have updated 2021 numbers by end of year.,"CH4, CO2, N20",,15893258,,13051174,,2090953,,,,,,Decreased,Policy change,606,2693976,2019,POINT (-87.6298 41.8781),10/04/2021 09:23:47 AM
2021,54085,"City of Savannah, GA",Savannah,United States of America,North America,public,Yes,2014-01-01 - 2014-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,2063648,,1642104,,,,,,,,,,278,145674,2015,POINT (-81.0998 32.0835),10/04/2021 09:23:47 AM
2021,54116,"City of Dubuque, IA",Dubuque,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),N/A,"CH4, CO2, N20",0,0,0,0,0,0,,,,,,Decreased,Technological change,77.62,57882,2019,POINT (-90.5071 42.5006),10/04/2021 09:23:47 AM
2021,53860,"City of Wilmington, NC",Wilmington,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,137,123728,2019,,10/04/2021 09:23:47 AM
2021,54070,"City of Eugene, OR",Eugene,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"This tool is consistent with Greenhouse Gas Protocol's Corporate Standard, Corporate Value Chain (Scope 3) Standard, and Public Sector Protocol as well as The Climate Registry's General Reporting Protocol (v2.1) and Local Government Operations Protocol (v1.1). This tool also follows the guidance provided by Greenhouse Gas Protocol's Scope 2 Guidance and Scope 3 Calculation Guidance.","CH4, CO2, HFCs, N20",,985191,,35580,,233353,,,,,,Increased,Change in available data,113,171245,2018,POINT (-123.087 44.0519),10/04/2021 09:23:47 AM
2021,54109,"City of Bloomington, IN",Bloomington,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The GPC methodology was chosen because it a comprehensive protocol that is used by cities across the world. It was also chosen in an attempt to establish a consistent methodology for GHG accounting going forward.Now that Bloomington is a part of the Global Covenant of Mayors, using the GPC is a requirement for GHG reporting. A new GHG inventory for the community will be completed by fall 2019 using GPC and guidance from ICLEI Local Governments for Sustainability ClearPath software.","CH4, CO2, N20",,,,,,,,,,,,Do not know,Change in methodology,60,85755,2019,POINT (-86.5264 39.1653),10/04/2021 09:23:47 AM
2021,54105,"City of Duluth, MN",Duluth,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Smaller – covers only part of the city,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),ClearPath Tool,"CH4, CO2, N20",,,,,,,,,,,,,,207,85915,2019,,10/04/2021 09:23:47 AM
2021,63999,"City of Miami Beach, FL",Miami Beach,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"We used ICLEI ClearPath and the only gases measured are CO2, CH4, and N2O.","CH4, CO2, N20",,316878.7,,729150,,156635,,,,,,Stayed the same,Emissions have not changed,18.13,91826,2018,POINT (-80.13 25.7906),10/04/2021 09:23:47 AM
2021,59657,"City of Beaverton, OR",,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",0,420433.4,,321639.59,,6685.01,,,,,,Do not know,"Other, please specify: Change in staff; lack of documentation; change in methodology",50.72,99225,2020,,10/04/2021 09:23:47 AM
2021,1093,"City of Atlanta, GA",Atlanta,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Change in available data,347,506811,2019,POINT (-84.388 33.749),10/04/2021 09:23:47 AM
2021,58590,"City of Easton, PA",Easton,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Our inventory addresses stationary energy and inboundary travel with consideration of CO2, as required by the Global Covenant of Mayors",CO2,0,131408.57,0,168321.11,0,,,,,,,Do not know,Change in methodology,12.587,27189,2019,POINT (-75.2207 40.6884),10/04/2021 09:23:47 AM
2021,43914,"City of Charlotte, NC",Charlotte,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Increased,Change in data collection methods,771,885708,2019,POINT (-80.8431 35.2271),10/04/2021 09:23:47 AM
2021,55415,"City of Columbia, SC","Columbia, SC",United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,,,7000,,,Decreased,Policy change,141,133451,2018,POINT (-81.0348 34.0007),10/04/2021 09:23:47 AM
2021,58636,"City of Bellingham, WA",Bellingham,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",0,511547.8,,308255.02,0,12491.24,,,,,,Increased,Increased energy/electricity consumption,78,90620,2021,POINT (-122.479 48.7519),10/04/2021 09:23:47 AM
2021,35853,"City of Baltimore, MD",Baltimore,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,Independent city,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",120614,4702493,,2784290,,,,,,,,Increased,"Other, please specify: Improved data accuracy and change in available data",129.2947,593490,2019,POINT (-76.6122 39.2904),10/04/2021 09:23:47 AM
2021,54034,"City of Grand Rapids, MI",Grand Rapids,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Although the 3 inventories very, the City believes the 2008 FTCH inventory to be the most accurate. This inventory followed ICLEI protocol.","CH4, CO2, N20",,,,,,,,,,,,Do not know,Change in methodology,117.25,201013,2019,,10/04/2021 09:23:47 AM
2021,58357,"City of West Hollywood, CA",West Hollywood,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2,,221361,,,,,,,,,,Decreased,Improved data accuracy,1.92098,34399,2010,POINT (-118.362 34.09),10/04/2021 09:23:47 AM
2021,73666,"Cuyahoga County, OH",,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,Province / County,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",117495,16033482,,5761545,,999233,,,,,,Decreased,"Other, please specify: Decrease usage in stationary energy",3226.06329,1235574,2019,,10/04/2021 09:23:47 AM
2021,35857,"City of Cincinnati, OH",Cincinnati,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Policy change,206,303940,2019,POINT (-84.512 39.1031),10/04/2021 09:23:47 AM
2021,74573,"Snoqualmie, WA",Snoqualmie,United States of America,North America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,16.57,14307,2021,POINT (-121.844 47.53),10/04/2021 09:23:47 AM
2021,31090,"District of Columbia, DC","Washington, DC",United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,Federal district,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),We use the ICLEI ClearPath tool but have converted to GPC for this reporting. The 2019 inventory has been reviewed and accepted by C40.,"CH4, CO2, N20",,3321339.41,,3189478.1,,548498.88,,,,,,Decreased,"Other, please specify: Greening of regional electric grid",158,708253,2019,POINT (-77.0369 38.9072),10/04/2021 09:23:47 AM
2021,58621,"Town of Blacksburg, VA",Blacksburg,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Smaller – covers only part of the city,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Town of Blacksburg community green house gas inventory according to the ICLEI US community protocol.,"CH4, CO2, N20",,306257.26,,,,,,,,,,Decreased,"Other, please specify: Decrease in degree days (weather) and change in electricity fuel mix",51.02,44678,2018,POINT (-80.4139 37.2296),10/04/2021 09:23:47 AM
2021,49342,"City of Rochester, NY",Rochester,United States of America,North America,public,Yes,2014-01-01 - 2014-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,,,,,,Do not know,"Other, please specify: unknown as no update inventory has been conducted to meaure change. We plan to do an updated inventory in 2020 to measure changes in GHG emissions against our goals.",59.77,210563,2010,POINT (-77.6109 43.161),10/04/2021 09:23:47 AM
2021,54037,"City of Des Moines, IA",Des Moines,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",0,1328927.89,,1259505.19,,8872.07,,,,,,Increased,"Other, please specify: Increased in some areas; decreased in others, remained relatively stable.",82.6,215636,2019,,10/04/2021 09:23:47 AM
2021,54075,"City of Lakewood, CO",Lakewood,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,827143,,653793.8,,,,,,,,Decreased,"Other, please specify: Cleaner electrical grid energy sources",114.5,156500,2019,POINT (-105.081 39.7047),10/04/2021 09:23:47 AM
2021,59563,"City of Takoma Park, MD",Takoma Park,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,151435,,,,,,,,,,Decreased,Technological change,5.4,17765,2021,POINT (-77.0075 38.9779),10/04/2021 09:23:47 AM
2021,74594,"City of Boynton Beach, FL",Boynton Beach,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The City  of Boynton Beach utilized the GPC methodology for its community inventory per GCoM requirements.,"CH4, CO2, N20",,425534,,324793,,35525,,,,,,Decreased,Change in available data,42.7,78495,2020,POINT (-80.216 26.4986),10/04/2021 09:23:47 AM
2021,74414,"Boulder County, CO",Boulder County,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,Province / County,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Boundary: Boulder County has set its boundary to reflect the county limits.Time Period: The 2016 inventory is based on the calendar year of 2016 (January 1st, 2016 through December 31st, 2016).Reporting Methodology and Scope: Boulder County has chosen the  GPC BASIC+ reporting level. The BASIC+ methodology includes BASIC emission sources, as well as a morecomprehensive coverage of emissions sources such as trans-boundary transportation;energy transmission and distribution losses; industrial processes and product use; andagriculture, forestry and other land uses.","CH4, CO2, HFCs, N20",,,,,,,,,,,,Decreased,Policy change,1920,326196,2019,POINT (-105.5 40.15),10/04/2021 09:23:47 AM
2021,74508,"City of Winona, MN",Winona,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Smaller – covers only part of the city,"Other, please specify: The Climate Registry (TCR)",,CO2,,,,,,,103592,127003,,,,Decreased,,39.2,26545,2020,POINT (-91.6663 44.0554),10/04/2021 09:23:47 AM
2021,35882,"City of Tampa, FL",Tampa,United States of America,North America,public,Yes,2020-01-01 - 2021-01-01,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),GHG Protocol,"CH4, CO2, N20",,5447346,5547884,,,,,,,,,This is our first year of calculation,Lack of knowledge overcome,293.7,400000,2019,,10/04/2021 09:23:47 AM
2021,35274,"City of Portland, ME",Portland,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"One Climate Future sets a goal of reducing Portland and South Portland’s community-wide greenhouse gas (GHG) emissions 80% by 2050, with an interim goal of 35% by 2030. To analyze options to achieve that goal, subconsultants Integral Group and Daybreak Climate Consulting developed an Excel-based GHG emissions model to inform and model policy actions for all quantified sources of GHG emissions in Portland and South Portland.The model is built on, and aligned with, the 2017 GHG inventories conducted by Integral Group and Daybreak Climate Consulting that were completed for the Cities of Portland and South Portland in 2019- 2020. Those inventories follow the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC).1 Wherever possible, modeling of future emissions has been aligned with standards in the GHG inventories to allow the cities to more easily track progress over time. Because the One Climate Future plan is for both cities, the results of the two inventories were combined and input into a single model, and baseline and projected numbers will appear larger than would be expected for either city on its own. The inventories show that both the scale and distribution of emissions between different fuels and sectors are extremely similar in both cities, with a few small exceptions: the industrial sector is larger in South Portland, and Portland has more non-road transportation infrastructure (e.g., Harbor, Jetport). Overall, combining the two inventories into a single baseline and model simplifies planning while still yielding results applicable to each city.","CH4, CO2, N20",560741,279588,,,,92,,,,,,Decreased,"Other, please specify: Overall, the emissions decreased. However, the protocols were slightly different and are noted in the comment box.",55.2,66215,2019,POINT (-70.2553 43.6615),10/04/2021 09:23:47 AM
2021,59588,"Town of Chapel Hill, NC",Chapel Hill,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Also used methods from the Local Government Operations Protocol and USDN's Regional Fugitive Methane Accounting,"CH4, CO2, N20",,,,,,,594267,324990,17828,,,Decreased,"Other, please specify: Our consultant believes the primary drivers are a cleaner grid (coal replaced by natural gas and some renewables) and better fuel efficiency for the transportation sector.",21.2,64051,2019,POINT (-79.0558 35.9132),10/04/2021 09:23:47 AM
2021,50540,"City of Albuquerque, NM",,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,"Most emissions are calculated using AP-42 emissions factors from the EPA, IPCC emissions factors, or direct monitoring of stationary sources and then applied to activity data. Other calculation methods will be noted in the spreadsheet of data.","CH4, CO2, N20",,,,,,,3189800,2310992,243627,,,Stayed the same,Emissions have not changed,490.02,560513,2019,,10/04/2021 09:23:47 AM
2021,59696,"City of Longmont, CO",,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Decreased,Change in accounting methodology,79.98,99570,2020,,10/04/2021 09:23:47 AM
2021,31182,"City of San Francisco, CA",San Francisco,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),San Francisco inventories are completed in accordance with the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC). San Francisco has been tracking its emissions since 1990 in which the methodology and sectors tracked were third party verified during inventory year 2012. Current GHG inventories are completed according to the guidance of verifiers in 2012 and continues to disclose emissions under the GPC framework for reporting purposes to and compliance with the Global Covenant of Mayors (GCOM).,"CH4, CO2, N20",,3761907,,207388,,328731,,,,,,Decreased,Technological change,121,881549,2019,POINT (-122.419 37.7749),10/04/2021 09:23:47 AM
2021,52897,"City of Aspen, CO",Aspen,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The inventory is also compliant with the guidelines that are laid out in the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI).,"CH4, CO2, N20",,186963,,82644,,35479,,,,,,Decreased,"Other, please specify: Electric utility generation mix changes toward renewable energy.",9.5,9003,2021,POINT (-106.837 39.195),10/04/2021 09:23:47 AM
2021,35393,"City of St Louis, MO",St Louis,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,Independent city,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CO2, HFCs, N20, PFCs, SF6",63901,2619715.62,,3850597.69,,133040.38,,,,,,Decreased,Behavioural change,170.9,308174,2020,POINT (-90.1994 38.627),10/04/2021 09:23:47 AM
2021,848568,"Metropolitan Council, Twin Cities",,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",5637293,29003778,0,11246012,0,86083,,,,,,This is our first year of calculation,,7770,3163104,2020,,10/04/2021 09:23:47 AM
2021,54026,"City of Tacoma, WA",Tacoma,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Increased,Change in data collection methods,128.79,216279,2018,POINT (-122.444 47.2529),10/04/2021 09:23:47 AM
2021,53879,"City of Jersey City, NJ",Jersey City,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,2897275,,757428.55,,,,,,,,Do not know,"Other, please specify: Lack of resources to monitor emissions status",38.19,261746,2018,,10/04/2021 09:23:47 AM
2021,54029,"City of Spokane, WA",Spokane,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Do not know,,180.01,215144,2016,,10/04/2021 09:23:47 AM
2021,58531,"City of Somerville, MA",Somerville,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Please see Methods Memorandum attachment for full methodology,"CH4, CO2, N20",,485574,,104077,,27000,,,,,,Decreased,Policy change,11,81562,2018,POINT (-71.0826 42.3934),10/04/2021 09:23:47 AM
2021,50562,"City of Chula Vista, CA",Chula Vista,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Our community GHG inventory was completed in conjunction with SANDAG - the San Diego Association of Governments using their regional protocol found here: https://www.sandag.org/index.asp?classid=17&subclassid=46&projectid=565&fuseaction=projects.detail.,,,,,,,,,,,,,Decreased,Technological change,134.68,271411,2019,POINT (-117.084 32.64),10/04/2021 09:23:47 AM
2021,43907,"City of Indianapolis, IN",Indianapolis,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"The Indianapolis community greenhouse gas (GHG) inventory was prepared following the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI). This report uses the Common Reporting Framework (CRF) which provides an inventory of the GHGs released inside the Indianapolis geographic boundary during 2019. In the past, the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) was used to report on GHGs released inside the Indianapolis geographic boundary during the years of 2010, 2013, and 2016.Source: City of Indianapolis and Marion County Greenhouse Gas Emissions Inventory Report for 2010, 2013,  and 2016 (p. 4)","CH4, CO2, HFCs, N20, PFCs, SF6",1003747.39,9054872.26,0,6048952.29,0,0,,,,,,Increased,Change in available data,936.09,883570,2020,POINT (-86.1785 39.7676),10/04/2021 09:23:47 AM
